ten_truyen_tieng_viet,nguon_tieng_viet,chap_da_dich,last_updated_tieng_viet,so_luong_doc,ten_truyen_original,nguon_original,chap_original,last_update_original,tag
Awkward Senpai,https://mollymax.co.uk/truyen-tranh/awkward-senpai,Chương 58,09/04/2026,389.428,N/A,N/A,N/A,N/A,update
Ngàn Năm Bảo Hộ Đại Nhân,https://mollymax.co.uk/truyen-tranh/ngan-nam-bao-ho-dai-nhan,Chương 51,09/04/2026,1.691,N/A,N/A,N/A,N/A,update
Gia Đình Ly Thân,https://mollymax.co.uk/truyen-tranh/gia-dinh-ly-than,Chương 14,10/04/2026,162,N/A,N/A,N/A,N/A,update
Hầm Ngục Hướng Dẫn Cấp Địa Ngục,https://mollymax.co.uk/truyen-tranh/ham-nguc-huong-dan-cap-dia-nguc,Chương 259,09/04/2026,2.819.674,N/A,N/A,N/A,N/A,update
Em Là Tất Cả Tinh Tú Của Anh,https://mollymax.co.uk/truyen-tranh/em-la-tat-ca-tinh-tu-cua-anh,Chương 54,09/04/2026,711,N/A,N/A,N/A,N/A,update
Tuyệt Đối Dân Cư,https://mollymax.co.uk/truyen-tranh/tuyet-doi-dan-cu,Chương 74,09/04/2026,642.569,N/A,N/A,N/A,N/A,update
"Trời Sinh Mị Cốt, Ta Bị Đồ Nhi Yandere Để Mắt Tới",https://mollymax.co.uk/truyen-tranh/troi-sinh-mi-cot-ta-bi-do-nhi-yandere-de-mat-toi,Chương 100,09/04/2026,476.214,N/A,N/A,N/A,N/A,update
Bạn Thuở Nhỏ Của Tôi Là Thú Nhân,https://mollymax.co.uk/truyen-tranh/ban-thuo-nho-cua-toi-la-thu-nhan,Chương 2,09/04/2026,520,N/A,N/A,N/A,N/A,update
Tiểu Thư Kiêu Kỳ Sa Ngã Thành Thường Dân Và Rơi Vào Tay Gã Tay Chơi Bất Lương Mà Cô Từng Coi Thường,https://mollymax.co.uk/truyen-tranh/tieu-thu-kieu-ky-sa-nga-thanh-thuong-dan-va-roi-vao-tay-ga-tay-choi-bat-luong-ma-co-tung-coi-thuong,Chương 2,09/04/2026,287,N/A,N/A,N/A,N/A,update
Nhất Nhân Chi Hạ,https://mollymax.co.uk/truyen-tranh/nhat-nhan-chi-ha,Chương 666,09/04/2026,2.424.285,N/A,N/A,N/A,N/A,update
Ngôi Sao Đỉnh Lưu,https://mollymax.co.uk/truyen-tranh/ngoi-sao-dinh-luu,Chương 48,09/04/2026,15.697,N/A,N/A,N/A,N/A,update
Abandoned ~Tsuyosugite Buki Ga Kowareru Yuusha To Buki Shokunin No Elf~,https://mollymax.co.uk/truyen-tranh/abandoned-tsuyosugite-buki-ga-kowareru-yuusha-to-buki-shokunin-no-elf-,Chương 8,09/04/2026,395,N/A,N/A,N/A,N/A,update
Garbage Time,https://mollymax.co.uk/truyen-tranh/garbage-time,Chương 187,09/04/2026,183.283,N/A,N/A,N/A,N/A,update
Tâm Cơ Hôn Sủng,https://mollymax.co.uk/truyen-tranh/tam-co-hon-sung,Chương 179,09/04/2026,22.582,N/A,N/A,N/A,N/A,update
Nue No Onmyouji,https://mollymax.co.uk/truyen-tranh/nue-no-onmyouji,Chương 4,09/04/2026,347,N/A,N/A,N/A,N/A,update
Tỷ Phú Ở Rể,https://mollymax.co.uk/truyen-tranh/ty-phu-o-re,Chương 28,09/04/2026,1.984,N/A,N/A,N/A,N/A,update
Mẹ Đơn Thân Và Nổi Ám Ảnh Của Thái Tử,https://mollymax.co.uk/truyen-tranh/me-don-than-va-noi-am-anh-cua-thai-tu,Chương 30,09/04/2026,1.408,N/A,N/A,N/A,N/A,update
Cuộc Sống Thường Ngày Của Gia Đình Doujima,https://mollymax.co.uk/truyen-tranh/cuoc-song-thuong-ngay-cua-gia-dinh-doujima,Chương 3,09/04/2026,3.359,N/A,N/A,N/A,N/A,update
Bastard!!: Thần Hủy Diệt Bóng Tối,https://mollymax.co.uk/truyen-tranh/bastard-than-huy-diet-bong-toi,Chương 1.2,09/04/2026,150,N/A,N/A,N/A,N/A,update
Kết Thúc Của Nhân Vật Phản Diện Chỉ Có Thể Là Cái Chết,https://mollymax.co.uk/truyen-tranh/ket-thuc-cua-nhan-vat-phan-dien-chi-co-the-la-cai-chet,Chương 205,09/04/2026,6.020.494,N/A,N/A,N/A,N/A,update
"Khi Tôi Cố Gắng Trả Thù Những Kẻ Bắt Nạt Ở Quê Nhà, Một Cuộc Chiến Khác Lại Bắt Đầu",https://mollymax.co.uk/truyen-tranh/khi-toi-co-gang-tra-thu-nhung-ke-bat-nat-o-que-nha-mot-cuoc-chien-khac-lai-bat-dau,Chương 42,09/04/2026,4.415,N/A,N/A,N/A,N/A,update
Cô Nàng Đẹp Mã Mà Bạn Gái Tôi Thích Đang Nhắm Tới Tôi,https://mollymax.co.uk/truyen-tranh/co-nang-dep-ma-ma-ban-gai-toi-thich-dang-nham-toi-toi,Chương 14,09/04/2026,12.840,N/A,N/A,N/A,N/A,update
Tôi Chỉ Định Chăm Sóc Người Cha Ốm Yếu Của Mình Thôi Mà,https://mollymax.co.uk/truyen-tranh/toi-chi-di-nh-cham-so-c-nguo-i-cha-o-m-ye-u-cu-a-mi-nh-thoi-ma,Chương 42,09/04/2026,2.034,N/A,N/A,N/A,N/A,update
Thợ Săn Ác Linh,https://mollymax.co.uk/truyen-tranh/tho-san-ac-linh,Chương 77,09/04/2026,4.367,N/A,N/A,N/A,N/A,update
Bắt Đầu Với Trăm Vạn Minh Tệ,https://mollymax.co.uk/truyen-tranh/bat-dau-voi-tram-van-minh-te,Chương 298,09/04/2026,13.291.685,N/A,N/A,N/A,N/A,update
Cá Con (Vảy Cá),https://mollymax.co.uk/truyen-tranh/ca-con-vay-ca,Chương 93,09/04/2026,2.520,N/A,N/A,N/A,N/A,update
Từ Giờ Làm Con Của Thần Rắn Nhé,https://mollymax.co.uk/truyen-tranh/tu-gio-lam-con-cua-than-ran-nhe,Chương 8,09/04/2026,2.274,N/A,N/A,N/A,N/A,update
Hội Chứng Mẫn Cảm Cao,https://mollymax.co.uk/truyen-tranh/hoi-chung-man-cam-cao,Chương 18,09/04/2026,1.250,N/A,N/A,N/A,N/A,update
Misaki-Kun Wa Kouryaku Chara Janai,https://mollymax.co.uk/truyen-tranh/misaki-kun-wa-kouryaku-chara-janai,Chương 29,09/04/2026,5.721,N/A,N/A,N/A,N/A,update
Người Chơi Che Giấu Quá Khứ,https://mollymax.co.uk/truyen-tranh/nguoi-choi-che-giau-qua-khu,Chương 114,09/04/2026,2.593.395,N/A,N/A,N/A,N/A,update
Một Đêm Đầy Sao,https://mollymax.co.uk/truyen-tranh/mot-dem-day-sao,Oneshot,09/04/2026,274,N/A,N/A,N/A,N/A,update
Thiên Hạ Ai Không Biết Quân,https://mollymax.co.uk/truyen-tranh/thien-ha-ai-khong-biet-quan,Chương 22,09/04/2026,590,N/A,N/A,N/A,N/A,update
Trước Đây Và Sau Này,https://mollymax.co.uk/truyen-tranh/truoc-day-va-sau-nay,Oneshot,09/04/2026,238,N/A,N/A,N/A,N/A,update
Nỗi Ám Ảnh Dành Cho Công Tước Phu Nhân,https://mollymax.co.uk/truyen-tranh/noi-am-anh-danh-cho-cong-tuoc-phu-nhan,Chương 29,09/04/2026,895,N/A,N/A,N/A,N/A,update
Danjonbando,https://mollymax.co.uk/truyen-tranh/danjonbando,Chương 12,09/04/2026,3.540,N/A,N/A,N/A,N/A,update
Chuyện Chị Đồng Nghiệp Của Tôi,https://mollymax.co.uk/truyen-tranh/chuyen-chi-dong-nghiep-cua-toi,Chương 64,09/04/2026,549,N/A,N/A,N/A,N/A,update
Dũng Giả Tổ Đội Mạn Họa,https://mollymax.co.uk/truyen-tranh/dung-gia-to-doi-man-hoa,Chương 53,09/04/2026,9.813,N/A,N/A,N/A,N/A,update
